inquiry	in'kwaiəri	n.询问，打听；调查
inspire	in'spaiə	vt.鼓舞；给…以灵感
monthly	mΛnθli	a.每月的ad.每月
skilled	skild	a.有技能的，熟练的
inherit	in'herit	vt.继承(传统等)
silence	sailəns	n.沉默vt.使沉默
setting	setiŋ	n.安装，调整；环境
partner	pa:tnə	n.伙伴；搭挡；配偶
channel	tʃænl	n.海峡；渠道；频道
loosen	lu:sn	vt.解开；使松驰
healthy	helθi	a.健康的；有益健康的
vanish	væniʃ	vi.突然不见，消失
counter	kauntə	n.柜台；计数器
tedious	ti:diəs	a.冗长乏味的，沉闷的
liquid	likwid	n.液体a.液体的
battery	bætəri	n.电池；一套，一组
powder	paudə	n.粉末；药粉；火药
fertile	fə:tail	a.肥沃的；多产的
prefer	pri'fə:	vt.宁可，宁愿
lively	laivli	a.活泼的；逼真的
perhaps	pə'hæps	ad.也许，可能，多半
sphere	sfiə	n.球，圆体；范围
proper	prɔpə	a.适合的；合乎体统的
emotion	i'məuʃən	n.情感，感情；激动
sulphur	sΛlfə	n.硫(磺)，硫黄
invent	in'vent	vt.发明，创造；捏造
worthy	wə:ði	a.有价值的；值得的
session	seʃən	n.会议，一段时间
mirror	mirə	n.镜子vt.反映，反射
fireman	faiəmən	n.消防队员；司炉工
trumpet	trΛmpit	n.喇叭，小号
violent	vaiələnt	a.猛烈的；狂暴的
manual	mænjuəl	a.体力的n.手册
control	kən'trəul	vt.控制，克制n.控制
quality	kwɔliti	n.质量；品质，特性
resist	ri'zist	vt.&vi.抵抗，抵制
involve	in'vɔlv	vt.使卷入；牵涉
opening	əupəniŋ	a.开始的n.开始
thrive	θraiv	vi.兴旺，繁荣，旺盛
static	stætikl	a.静的；静态的
develop	di'veləp	vt.发展形成开发冲洗照片vi.进步
porter	pɔ:tə	n.搬运工人
subway	sΛbwei	n.地道；地下铁路
dynamic	dai'næmik	adj.有活力的动态的(有)动力的(有)力的n.动力力学
passion	pæʃən	n.激情，热情；爱好
verify	verifai	vt.证实，查证；证明
refuse	ri'fju:z	vt.拒绝vt.拒绝
central	sentrəl	a.中心的；主要的
specify	spesifai	vi.指定，详细说明
cabbage	kæbidʒ	n.洋白菜，卷心菜
retire	ri'taiə	vi.退下；引退；就寝
thereby	ðeə'bai	ad.因此，从而，由此
leather	leðə	n.皮革；皮革制品
sponsor	spɔnsə	n.发起者vt.发起
learned	lə:nid	a.有学问的；学术上的
fashion	fæʃən	n.样子，方式；风尚
medical	medikəl	a.医学的；内科的
freight	freit	n.货运；货物；运费
tender	tendə	a.嫩的；脆弱的
tissue	tisju:	n.薄绢；薄纸；组织
record	rekɔ:d,ri'kɔ:d	n.记录；履历vt.记录
liable	laiəbl	a.易于…的；可能的
passive	pæsiv	a.被动的；消极的
public	pΛblik	a.公众的n.公众
reduce	ri'dju:s	vt.减少，减小；简化
moment	məumənt	n.片刻，瞬间，时刻
merely	miəli	ad.仅仅，只不过
section	sekʃən	n.切片；一段；部门
visual	vizjuəl	a.看的；看得见的
complex	kɔmpleks	a.结合的；复杂的
element	elimənt	n.成分；要素；元素
however	hau'evə	ad.然而；不管怎样
confuse	kən'fju:z	vt.使混乱，混淆
diverse	dai'və:s	adj.不一样的相异的不同的多种多样的
whilst	wailst	conj.&n.当…的时候
murder	mə:də	n.&vi.谋杀，凶杀
region	ri:dʒən	n.地区，地带；领域
horizon	hə'raizn	n.地平线；眼界，见识
nature	neitʃə	n.大自然；本性；性质
suspend	səs'pend	vt.吊，悬；推迟
justify	dʒΛstifai	vt.证明…是正当的
release	ri'li:s	vt.释放；放松；发表
brother	brΛðə	n.兄弟；同事，同胞
patient	peiʃənt	a.忍耐的n.病人
survive	sə'vaiv	vt.幸免于vi.活下来
pronoun	prəunaun	n.代名词
extreme	iks'tri:m	a.极度的；尽头的
cottage	kɔtidʒ	n.村舍，小屋
rotate	rəu'teit	vi.旋转vt.使旋转
sausage	sɔsidʒ	n.香肠，腊肠
diagram	'daiəgræm	n.图解图表简图vt.用图解法表示
people	pi:pl	n.人民，民族；人
current	kΛrənt	a.当前的；通用的
chapter	tʃæptə	n.章，回，篇
attempt	ə'tempt	vt.尝试，试图n.企图
contact	kɔntækt,kən'tækt	vt.使接触；与…联系
stripe	straip	n.条纹，条子
refresh	ri'freʃ	vt.使清新vi.恢复精神
manage	mænidʒ	vt.管理；设法；对付
justice	dʒΛstis	n.正义，公正；司法
despair	di'spɛə	n.绝望失望vi.绝望失望
consume	kən'sju:m	vt.消耗，消费；消灭
matter	mætə	n.事情；物质vi.要紧
stress	stres	n.压力；重音vt.着重
vinegar	vinigə	n.醋
kettle	ketl	n.水壶，水锅
petrol	petrəl	n.(英)汽油
install	in'stɔ:l	vt.安装，设置
namely	neimli	ad.即，也就是
indoors	in'dɔ:z	ad.在室内，在屋里
missing	misiŋ	a.缺掉的，失去的
textile	tekstail	n.纺织品a.纺织的
swallow	swɔləu	n.燕子vt.&vi.吞下，咽下
provide	prə'vaid	vt.提供；装备，供给
present	preznt	a.现在的n.目前vt.赠送;介绍;提出
neither	naiðə,'ni:ðə	a.(两者)都不的
render	rendə	vt.表示，给予；使得
because	bi'kɔz	conj.由于，因为
tension	tenʃən	n.紧张,不安,拉紧,张力
pacific	pə'sifik	a.和平的n.太平洋
reality	ri'æliti	n.现实；真实
balloon	bə'lu:n	n.气球，玩具气球
mixture	mikstʃə	n.混合；混合物
acquire	ə'kwaiə	vt.取得；获得；学到
neglect	ni'glekt	vt.忽视，忽略；疏忽
nursery	nə:səri	n.托儿所；苗圃
journey	dʒə:ni	n.旅行，旅程n.旅行
comfort	kΛmfət	n.舒适；安慰vt.安慰
outlet	aut-let	n.出口，出路；排遣
thread	θred	n.线；丝；螺纹；头绪
willing	wiliŋ	a.愿意的，心甘情愿的
living	liviŋ	a.活的n.生活，生计
policy	pɔlisi	n.政策，方针
initial	i'niʃəl	a.最初的；词首的
evident	evidənt	a.明显的，明白的
promise	prɔmis	n.诺言；指望vt.允诺
poison	pɔizn	n.毒，毒药vt.毒害
nucleus	nju:kliəs	n.核，核心；(原子)核
ceiling	si:liŋ	n.天花板，顶蓬
circuit	sə:kit	n.电路；环行；巡行
planet	plænit	n.行星
vehicle	vi:ikl	n.车辆，机动车
inspect	in'spekt	vt.检查，审查；检阅
marine	mə'ri:n	a.海的；海上的
postage	pəustidʒ	n.邮费，邮资
compare	kəm'peə	vt.比较，对照；比作
waggon	wægən	n.四轮运货马车
durable	'djuərəbl	adj.耐久的耐用的n.(复)耐用品
veteran	vetərən	n.老兵，老手
pretty	priti	a.漂亮的，标致的
upright	Λprait	a.垂直的；正直的
unlike	Λn'laik	a.不同的prep.不象…
submit	sΛb'mit	vt.使服从vi.服从
improve	im'pru:v	vt.使更好vi.改善
rescue	reskju:	vt.&n.援救，营救
carrier	kæriə	n.运输工具；运载工具
exclaim	iks'kleim	vi.呼喊；惊叫
uncover	Λn'kΛvə	vt.揭开…的盖子
deliver	di'livə	vt.投递递送送交发表表达释放交付接生履行vi.达成
handful	hændful	n.一把；少数，一小撮
puzzle	pΛzl	n.难题；谜vi.使迷惑
lessen	lesn	vt.减少，减轻；缩小
little	litl	a.小的；少；幼小的
compete	kəm'pi:t	vi.比赛；竞争；对抗
pioneer	paiə'niə	n.拓荒者；先驱者
visible	vizəbl	a.可见的，看得见的
prompt	prɔmpt	a.及时的vt.敦促
formula	fɔ:mjulə	n.公式，式
orange	orindʒ	n.橙(树)；柑(树)
remark	ri'ma:k	vt.&vi.&n.评论，谈论
notice	nəutis	vt.注意n.通知；注意
rather	ra:ðə	ad.宁可，宁愿；相当
drought	draut	n.旱灾干旱
pocket	pɔkit	n.衣袋n.袖珍的
century	sentʃuri	n.世纪，百年
occupy	ɔkjupəai	vt.占领；占，占有
somehow	sΛmhau	ad.由于某种原因
economy	i(:)'kɔnəmi	n.经济；节约，节省
shelter	ʃeltə	n.隐蔽处；掩蔽，庇护
painful	peinful	a.使痛的；费力的
