abandon	ə'bændən	vt.丢弃；放弃，抛弃
contrary	kɔntrəri	a.相反的n.相反
contrast	kɔntræst,kən'træst	n.对比，对照，悬殊
contribute	kən'tribju(:)t	vt.捐献，捐助；投稿
control	kən'trəul	vt.控制，克制n.控制
convenience	kən'vi:njəns	n.便利，方便；厕所
convenient	kən'vi:njənt	a.便利的；近便的
convention	kən'venʃən	n.习俗，惯例；公约
conventional	kən'venʃənl	a.普通的；习惯的
conversation	kɔnvə'seiʃən	n.会话，非正式会谈
conversely	kɔnvə:sli	ad.相反地
conversion	kən'və:ʃən	n.转变，转化；改变
convert	kən'və:t,'kɔnvə:t	vt.使转变；使改变
convey	kən'vei	vt.传送；运送；传播
convince	kən'vins	vt.使确信，使信服
cook	kuk	vt.烹调，煮vt.烧菜
cool	ku:l	a.凉的，冷静的
cooperate	kəu'ɔpəreit	vi.合作，协作；配合
coordinate	kəu'ɔdinit	vt.使协调，调节
cope	kəup	vi.对付，应付
copper	kɔpə	n.铜；铜币，铜制器
copy	kɔpi	n.抄件vt.抄写，复制
cord	kɔ:d	n.细绳，粗线，索
core	kɔ:	n.果实的心，核心
corn	kɔ:n	n.谷物；(英)小麦
corner	kɔ:nə	n.角；犄角；边远地区
corporation	kɔ:pə'reiʃən	n.公司，企业；社团
correct	kə'rekt	a.正确的vt.纠正
correspond	kɔris'pɔnd	vi.相符合；相当
corresponding	kɔris'pɔndiŋ	a.相应的；符合的
corridor	kɔridɔ:	n.走廊，回廊，通路
cost	kɔst	n.价格，代价；成本
costly	kɔstli	a.昂贵的；价值高的
cottage	kɔtidʒ	n.村舍，小屋
cotton	kɔtn	n.棉；棉线；棉布
cough	kɔf	vi.咳，咳嗽n.咳嗽
could	kud,kəd	aux.v.(can的过去式)
council	kaunsil	n.理事会，委员会
count	kaunt	vt.计算vi.数，计数
counter	kauntə	n.柜台；计数器
country	kΛntri	n.国家，国土；农村
countryside	kΛntrisaid	n.乡下，农村
county	kaunti	n.英国的郡，美国的县
couple	kΛpl	n.夫妇；(一)对；几个
courage	kΛridʒ	n.勇气，胆量，胆识
course	kɔ:s	n.课程；过程；一道菜
court	kɔ:t	n.法院，法庭；庭院
cousin	kΛzn	n.堂(或表)兄弟(姐妹)
cover	kΛvə	vt.盖，包括n.盖子
cow	kau	n.母牛，奶牛；母兽
crack	kræk	n.裂缝，裂纹vi.爆裂
craft	kra:ft	n.工艺；手艺，行业
crane	krein	n.起重机，摄影升降机
crash	kræʃ	vi.碰撞，坠落n.碰撞
crawl	krɔ:l	vi.爬，爬行
crazy	kreizi	a.疯狂的，荒唐的
cream	kri:m	n.奶油，乳脂；奶油色
create	kri(:)'eit	vt.创造；引起，产生
creative	kri(:)'eitiv	a.创造性的，创作的
creature	kri:tʃə	n.生物，动物，家畜
credit	kredit	n.信用贷款；信用
creep	kri:p	vi.爬行；缓慢地行进
crew	kru:	n.全体船员
crime	kraim	n.罪，罪行；犯罪
criminal	kriminl	n.犯人，罪犯，刑事犯
crisis	kraisis	n.危机；存亡之际
critic	kritik	n.批评家，爱挑剔的人
critical	kritikəl	a.决定性的；批评的
criticism	kritisizəm	n.批评；批判；评论
criticize	kritisaiz	vt.批评；评论；非难
crop	krɔp	n.农作物，庄稼；一熟
cross	krɔs	vt.穿过；使交叉
crowd	kraud	n.群；大众；一伙人
crown	kraun	n.王冠，冕；花冠
crude	kru:d	a.简陋的；天然的
cruel	kruəl	a.残忍的，残酷的
crush	krΛʃ	vt.压碎，碾碎；镇压
crust	krΛst	n.面包皮；硬外皮
cry	krai	vi.哭，哭泣；叫喊
crystal	kristl	n.水晶，结晶体；晶粒
cube	kju:b	n.立方形；立方
cubic	kju:bik	a.立方形的；立方的
cultivate	kΛltiveit	vt.耕；种植；培养
culture	kΛltʃə	n.文化，文明；教养
cup	kΛp	n.杯子；(一)杯；奖杯
cupboard	kΛbəd	n.碗柜，碗碟橱；食橱
cure	kjuə	vt.医治；消除n.治愈
curiosity	kjuəri'ositi	n.好奇，好奇心；珍品
curious	kjuəriəs	a.好奇的；稀奇古怪的
current	kΛrənt	a.当前的；通用的
curse	kə:s	n.诅咒，咒骂；天谴
curtain	kə:tn	n.帘，窗帘；幕(布)
curve	kə:v	n.曲线；弯vt.弄弯
cushion	kuʃən	n.垫子，坐垫，靠垫
custom	kΛstəm	n.习惯，风俗；海关
customer	kΛstəmə	n.顾客，主顾
cut	kΛt	vt.切，割，剪；减少
cycle	saikl	n自行车，循环
daily	'deili	adj.每日的按天计算的日常的adv.每日天天n.日报(复)工作样片
dairy	'dɛəri	n.牛奶场乳制品乳品店adj.牛奶的
dam	dæm	n.水坝水堤障碍物vt.筑坝抑制(情感）等
damage	'dæmidʒ	vt.损害毁坏n.(pl.)赔偿损坏毁坏损害
damp	dæmp	adj.潮湿的有湿气的n.毒气湿气丧气vt.呛抑制使潮湿vi.衰减
dance	dɑ:ns	vi.跳舞摇晃雀跃vt.使跳跃使某人以跳舞的方式进入n.舞跳舞舞蹈舞会舞步
danger	'deindʒə	n.危险危险事物
dangerous	'deindʒərəs	adj.危险的不安全的引起危险的
dare	dɛə	vt.&vi.&aux.v.敢竟敢敢于勇于面对n.敢挑战
daring	'dɛəriŋ	adj.大胆的勇敢的n.冒险精神
dark	dɑ:k	adj.暗的黑色的n.黑暗暗处
darling	'dɑ:liŋ	n.亲爱的人可爱的人可爱的物宠儿adj.可爱的亲爱的
dash	dæʃ	vt.使猛撞猛掷泼溅冲撞匆忙溅vi.猛冲猛撞n.猛冲冲撞破折号少量短跑冲劲
data	'deitə	n.(datum的复数)数据资料
date	deit	n.日期约会枣椰子vt.约会定...日期vi.追溯到n.[计算机]DOS命令：显示或设置系统日期
daughter	'dɔ:tə	n.女儿adj.与女儿有关的女性直系后代的
dawn	dɔ:n	n.黎明破晓开端vi.破晓逐渐明白
day	dei	n.(一)天白昼白天
daylight	'deilait	n.白昼日光黎明
dead	ded	adj.死的无生命的萧条的精疲力竭的用完的无趣的adv.完全地突然地直接地n.死者死
deadly	'dedli	adj.致命的致死的死一般的adv.非常地如死一般地
deaf	def	adj.聋的不愿听的
deal	di:l	n.买卖待遇交易协定份量vt.(dealtdealt[delt])处理应付分配给予
dear	diə	adj.严重的珍贵的亲爱的昂贵的衷心的adv.高价地热爱地n.亲爱的人可爱的人int.啊哎呀
death	deθ	n.死死亡灭亡死神
debate	di'beit	n.&vi.争论辩论商讨vt.争论思考
debt	det	n.债债务欠债负债状态义务罪过失
decade	'dekeid	n.十年十年期
decay	di'kei	vi.腐烂衰败n.腐烂衰退
deceit	di'si:t	n.欺骗欺诈诡计不诚实
deceive	di'si:v	vt.欺骗蒙蔽行骗vi.行骗
December	di'sembə	n.十二月
decent	'di:snt	adj.正派的体面的有分寸的得体的相当好的
decide	di'said	vt.&vi.决定决心解决作出抉择
decision	di'siʒən	n.决定决心果断决策
deck	dek	n.甲板舱面层面桥面楼层vt.装饰
declare	di'klɛə	vt.&vi.断言声明表明宣布申报
decorate	'dekəreit	vt.装饰装璜修饰授予某人奖章或其他奖状
decrease	"'di:kri:s,di:'kri:s"	vi.&n.减少减少
deduce	di'dju:s	vt.演绎推论推断溯源
deed	di:d	n.行为事迹功绩(尤指房产)契约证书vt.通过行为转化
deep	di:p	adj.深的有...深的深奥的纵深的adv.深深地晚地n.深处
deepen	'di:pən	vt.加深使...加深使...强烈vi.深化加深变浓
deer	diə	n.鹿
defeat	di'fi:t	vt.战胜击败挫败n.败北失败
defect	di'fekt	n.缺点缺陷欠缺vi.背叛
defence	di'fens	n.防御防务辩护答辩
defend	di'fend	vt.&vi.防护辩护防卫保卫防守
define	di'fain	vt.给...下定义限定解释
definite	'definit	adj.明确的肯定的一定的
definitely	'definitli	adv.一定地明确地确切地
definition	.defi'niʃən	n.定义释义定界阐释清晰度
degree	di'gri:	n.程度度度数学位
delay	di'lei	vt.推迟耽搁延误vi.耽搁n.耽搁迟滞
delete	di'li:t	vt.删除擦掉
delegation	.deli'geiʃən	n.代表团委派
delicate	'delikit	adj.纤细的易碎的精美的微妙的美味的脆弱的敏锐的n.精美的东西
delicious	di'liʃəs	adj.美味的可口的怡人的
delight	di'lait	n.快乐快乐vt.使高兴vi.给与乐趣
deliver	di'livə	vt.投递递送送交发表表达释放交付接生履行vi.达成
delivery	di'livəri	n.投递交付分娩
demand	di'mɑ:nd	vt.要求需要询问n.要求需求
democracy	di'mɔkrəsi	n.民主民主制民主国家
democratic	.demə'krætik	adj.民主的民主政体的大众的平等的
demonstrate	'demənstreit	vt.说明论证证明表露示范演示vi.示威
dense	dens	adj.密集的浓厚的愚钝的不易看透的
density	'densiti	n.密集稠密密度透明度
deny	di'nai	vt.否定拒绝相信拒绝反对克制
depart	di'pɑ:t	vi.离开起程出发死亡脱轨vt.离开
department	di'pɑ:tmənt	n.部司局处系部门省
departure	di'pɑ:tʃə	n.离开出发起程分歧
depend	di'pend	vi.依靠依赖相信指望
dependent	di'pendənt	adj.依靠的依赖的附属的悬垂的n.受经济援助者
deposit	di'pɔzit	vt.使沉淀存放堆积vi.沉淀n.存款定金堆积物
depress	di'pres	vt.使沮丧按下降低[计算机]降低
depth	depθ	n.深度深厚深处强度诚挚
derive	di'raiv	vt.取得得自起源引申于vi.起源
descend	di'send	vt.&vi.降传降临下来下降下倾
describe	di'skraib	vt.形容描写描绘描述画(尤指几何图形)
description	di'skripʃən	n.描写描述说明书作图形容种类
desert	"'dezət,di'zə:t"	n.沙漠荒地应得(的惩罚或奖励)vt.离弃擅离遗弃vi.擅离职守adj.沙漠的荒凉的
deserve	di'zə:v	vt.应受值得vi.应该得到
design	di'zain	vt.设计想像计划vi.计划设计n.设计图样
desirable	di'zaiərəbl	adj.值得相望的可取的值得有的令人满意的有吸引力的n.有吸引力的人
desire	di'zaiə	vt.要求向往请求渴望n.愿望欲望情欲
desk	desk	n.书桌办公桌
despair	di'spɛə	n.绝望失望vi.绝望失望
desperate	'despərit	adj.拼死的绝望的不顾一切的极想得到的
despise	di'spaiz	vt.鄙视蔑视
despite	di'spait	prep.不管尽管不顾v.憎恨轻视
destination	.desti'neiʃən	n.目的地终点目标景点
destroy	dis'trɔi	vt.&vi.破坏消灭打破[计算机]撤消
destruction	di'strʌkʃən	n.破坏毁灭消灭破坏者
detail	'di:teil	n.细节详情部分分派枝节零件vt.详述选派用小元素装饰vi.画细节
detect	di'tekt	vt.察觉发觉侦察发现探测信息vi.当侦探
detection	di'tekʃən	n.察觉发觉侦察探测
determination	di.tə:mi'neiʃən	n.决心(正式)决定确定规定测定定位
determine	di'tə:min	vt.决定查明决心[计算机]确定
develop	di'veləp	vt.发展形成开发冲洗照片vi.进步
development	di'veləpmənt	n.发展开发生长显影开发区
device	di'vais	n.器械装置设备设计策略
devil	'devl	n.魔鬼恶魔坏人难对付的东西困难小尘暴vt.加料惹恼
devise	di'vaiz	vt.设计发明遗赠n.遗赠(的财产)
devote	di'vəut	vt.将...奉献致力于投入于献身
dew	dju:	n.露露水
diagram	'daiəgræm	n.图解图表简图vt.用图解法表示
dial	'daiəl	n.钟面拨号盘刻度盘针面转盘vt.拨用仪表测量操作仪表vi.拨号用仪表测量[计算机]拨号
dialect	'daiəlekt	n.方言土语地方话
dialog	'daiəlɔg	n.对话对白(美)=dialogue
diameter	dai'æmitə	n.直径
diamond	'daiəmənd	n.金钢石钻石菱形像钻石的物质纸牌的方块棒球内场vt.用钻石装饰adj.60或75周年纪念的
diary	'daiəri	n.日记日记簿
dictate	"'dikteit,dik'teit"	vt.&vi.口授命令听写n.命令指挥指令
dictation	dik'teiʃən	n.口授笔录听写
dictionary	'dikʃəneri	n.词典字典辞典
die	dai	vi.死死亡灭亡n.金属模子印模骰子
differ	'difə	vi.不同(意见)相异不一致
difference	'difərəns	n.差别差分歧vt.引起区别
different	'difərənt	adj.差异的各种的不同的与众不同的
difficult	'difikəlt	adj.困难的难对付的(人)难取悦的难相处的
difficulty	'difikəlti	n.困难争议反对麻烦难事困境
dig	dig	vt.掘挖翻土采掘
digest	dai'dʒest	vt.消化领会理解vi.消化n.文摘摘要
digital	'didʒitəl	adj.数字的计数的手指的数码的电子的
diligent	'dilidʒənt	adj.勤勉的勤奋的用功的
dim	dim	adj.昏暗的暗淡的朦胧的模糊的笨的vt.使暗淡使失去光泽vi.变暗n.车头灯的短焦距光
dimension	di'menʃən	n.尺寸尺度面积次元容积维度范围方面vt.标尺寸形成...尺寸
dinner	'dinə	n.正餐主餐宴会晚宴
dip	dip	vt.浸蘸给...洗药浴vi.浸一浸下降向下倾斜翻阅提取(款项)n.游下降减少低洼处调味酱药浴液
direct	di'rekt	adj.直接的直率的笔直的坦白的vt.指挥命令负责vi.指导指出
direction	di'rekʃən	n.方向方位指导用法说明趋势
directly	di'rektli	adv.直接地立即完全
director	"di'rektə,dai'rektə"	n.指导者理事董事经理主管导演
dirt	də:t	n.尘土污物污垢泥土污秽的言行卑鄙的人堕落矿渣
dirty	'də:ti	adj.脏的下流的肮脏的色情的卑鄙的adv.卑鄙地vt.使...变脏vi.弄脏
disable	dis'eibl	vt.使无能使伤残使...失去能力
disadvantage	.disəd'væntidʒ	n.不利不利地位不利条件损害损失
disagree	.disə'gri:	vi.有分歧不一致不适应不适宜
disappear	.disə'piə	vi.不见失踪消失灭绝vt.引起消失
disappoint	.disə'pɔint	vt.&vi.使失望使受挫折
disaster	di'zɑ:stə	n.灾难灾祸天灾
disk	disk	n.圆盘唱片磁盘光盘花盘盘形物[计算机]磁盘vt.用圆盘耙耙地
discard	"'diskɑ:d,dis'kɑ:d"	vt.丢弃抛弃遗弃vi.丢牌n.丢牌废牌
discharge	dis'tʃɑ:dʒ	vt.vi.释放排出放出解雇解除放电清偿债务n.释放卸货放电一股一阵开火发射准许离开
discipline	'disiplin	n.纪律训练惩罚学科vt.训练惩罚
disclose	dis'kləuz	vt.揭开揭发透露
discourage	dis'kʌridʒ	vt.使泄气使灰心阻碍
discover	dis'kʌvə	vt.&vi.发现暴露显示
discovery	dis'kʌvəri	n.发现被发现的事物
discuss	di'skʌs	vt.讨论谈论论述
discussion	di'skʌʃən	n.讨论谈论辩论论述
disease	di'zi:z	n.病疾病病害弊端
disguise	dis'gaiz	vi.隐瞒掩埋vt.假装假扮掩饰n.假装假面目伪装物
disgust	dis'gʌst	n.厌恶憎恶嫌恶vt.&vi.令人厌恶
dish	diʃ	n.碟盘子菜肴凹形vt.装盘提出揭露挖空vi.闲谈
dishonour	dis'ɔnə	n.不光彩丢脸的人耻辱拒付vt.使丢脸侮辱拒付=dishonor
dislike	dis'laik	vt.&n.不喜爱厌恶反感
dismiss	dis'mis	vt.不再考虑解雇解散开除逃避(法律)驳回
disorder	dis'ɔ:də	n.混乱杂乱骚乱vt.扰乱
display	di'splei	vt.陈列展览显示炫耀vt.显示表现夸示
disposal	di'spəuzəl	n.丢掉处理销毁菜碾碎器
dispose	di'spəuz	vi.去掉丢掉销毁vt.倾向于处置
displease	dis'pli:z	vt.使不愉快使生气
dispute	di'spju:t	vi.争论争执vt.争论质疑争夺抵抗n.争论争吵
dissatisfy	dis'sætisfai	vi.使不满使不平
dissolve	di'zɔlv	vt.使溶解解散消除解决(问题)使沮丧vi.消散溶解解散液化变得模糊n.叠化画面
distance	'distəns	n.距离间距远处(人际关系的)疏远vt.使疏远把(对手)甩在后面与...保持距离adj.(通过电子手段)远程(教育)
distant	'distənt	adj.在远处的疏远的疏远的远房的陌生的远行的
distinct	di'stiŋkt	adj.与其他不同的不同的明显的(from)独特的清楚的
distinction	di'stiŋkʃən	n.差别不同区分对比杰出
distinguish	di'stiŋgwiʃ	vt.区别辨别认别特别关注vi.区别
distress	di'stres	n.忧虑悲伤不幸苦恼贫困忧郁恶化扣押财物vt.使...苦恼仿造adj.亏本出售的
distribute	di'stribjut	vt.&vi.分发分送分布分配
distribution	.distri'bju:ʃən	n.分发分配分布散布
district	'distrikt	n.区地区区域行政区vt.划分区域划分地区
disturb	dis'tə:b	vt.&vi.打扰扰乱弄乱妨碍使...不安
ditch	ditʃ	n.沟沟渠渠道vt.坠入沟中摆脱飞机(在海上)迫降vi.挖一条沟渠飞机紧急降落
dive	daiv	vi.跳水潜水俯冲vt.跳水俯冲vi.把...伸入
diverse	dai'və:s	adj.不一样的相异的不同的多种多样的
divide	di'vaid	vt.分分配分开(组)vi.除分开
division	di'viʒən	n.分分配除法划分分开部门师(军队)
divorce	di'vɔ:s	n.离婚离异vi.离婚与...办离婚
do	du:	aux.v.vt.&vi.做干办
dock	dɔk	n.船坞码头(造)修船厂尾巴的骨肉部分被告席vt.进港(减)剪短对接vi.进港对接
doctor	'dɔktə	n.医生医师博士vt.医治篡改对...做手脚vi.用药
document	"'dɔkjumənt,'dɔkjument"	n.公文文件证件[计算机]文档vt.记载用文件等证明
dog	dɔg	n.狗犬犬科动物卑鄙的人vt.尾随跟踪
dollar	'dɔlə	n.美元(货币单位)
domestic	də'mestik	adj.本国的国内的家庭的驯养的n.家仆佣人
donkey	'dɔŋki	n.驴笨蛋
door	dɔ:	n.门通道一家
dorm	dɔ:m	n.(集体)宿舍
dormitory	'dɔ:mitri	n.集体寝室宿舍
dose	dəus	n.剂量用量一剂vt.配
dot	dɔt	n.点圆点少量小东西vt.作小点记号点缀vi.作小点记号[计算机]点
double	'dʌbl	adj.两倍的复制品替身双重角色的演员反转双的双人房adj.两倍的双重的骗人的加量的adv.两倍地双人地翻来覆去地对折地vt.使加倍对折握紧做替身vi.加倍转身兼任替代演出
doubt	daut	n.怀疑疑虑不信任vt.怀疑不信任vi.不确定
doubtful	'dautfəl	adj.难以预测的怀疑的疑心的不确定的
doubtless	'dautlis	adv.无疑地很可能确定地adj.无疑的确定的
down	daun	adv.向下在下面下跌在南方adj.向下的降低的情绪低落停止运行n.绒毛汗毛轻视prep.沿着...而下
downstairs	.daun'stɛəz	adv.在楼下向楼下adj.楼下的n.楼下
downward	'daunwəd	adj.向下的adv.向下地
dozen	'dʌzn	n.一打十二个adj.一打的十二个的
draft	dræft	n.草稿草图汇票徵兵vt.起草征兵选秀adj.酝酿中的
drag	dræg	vt.拖拉拖曳拖累拖拉(动)vi.拖拉(动)缓慢地行走n.用来拖拉的东西拖拖累
dragon	'drægən	n.龙凶暴的人严厉的人
drain	drein	vt.排去放水耗尽排出排干喝光vi.变干排出排水n.下水道排水沟消耗耗竭
drama	'drɑ:mə	n.一出戏剧剧本戏剧戏剧性情节刺激
dramatic	drə'mætik	adj.引人注目的戏剧的给人深刻印象的n.(pl.)戏剧作品戏曲
dramatization	.dræməti'zeiʃən	n.编剧改编成戏剧
draw	drɔ:	vt.(drewdrawn)拉拖挨近提取画绘制划拨出n.平局抽签拉拽吸引人的事物
drawer	'drɔ:ə	n.抽屉
drawing	'drɔ:iŋ	n.图画素描绘图绘图技巧
dread	dred	n.畏惧恐怖可怕的人可怕的事vt.惧怕恐惧adj.可怕的可怖的
dream	dri:m	n.梦梦想vt.&vi.做梦想象
dress	dres	n.女服童装服装vt.&vi.穿著adj.正式的(衣服)
drift	drift	vi.漂流漂泊吹积n.漂流漂移漂流物观望吹积物趋势vt.使漂流把...吹积
drill	dril	n.钻头钻孔机钻子播种机操练vi.钻孔vt.训练钻孔
drink	driŋk	vt.&vi.饮喝喝酒n.饮料
drip	drip	vi.滴下漏水n.水滴滴点滴乏味的人
drive	draiv	vt.&vi.驾驶驱驱使驾进力打入n.驾车快车道推进力驱使路街[计算机]驱动器
driver	'draivə	n.驾驶员司机
drop	drɔp	vt.使落下降低减少vi.落下减少减弱n.滴微量落下
drought	draut	n.旱灾干旱
drown	draun	vi.淹死溺死vt.淹死沉浸于
drug	drʌg	n.药药物药材毒品vt.下药使...服麻醉药vi.吸毒
drum	drʌm	n.鼓鼓声鼓状物圆桶冰丘vi.击鼓作鼓声引起兴趣vt.召集入伍逐出(经过努力)推动...连续击打
drunk	drʌŋk	adj.醉的陶醉的vbl.喝喝酒
dry	drai	adj.干的干燥的干旱的不行于色的枯燥无味的无酒的口渴的vt.把...弄干vi.(使)变干
duck	dʌk	n.鸭雌鸭鸭肉板球零分vt.把…按入水中低头弯身(以免被打中或看见)躲避vi.迅速行进飞快行走(以免被看见)推委责任
due	dju:	adj.预期的应给的到期的应有的预定的n.应得物
dull	dʌl	adj.枯燥的不鲜明的呆滞的迟钝的无趣的钝的暗的vt.使变钝vi.变钝
dumb	dʌm	adj.哑的无言的沉默的愚蠢的vt.使人沉默
dump	dʌmp	vt.倾卸倾倒倾销丢弃抛售导出vi.骤降扔垃圾n.垃圾场堆放处
durable	'djuərəbl	adj.耐久的耐用的n.(复)耐用品
duration	dju'reiʃən	n.持续持久持续时间期间
during	'djuəriŋ	prep.在...期间
dusk	dʌsk	n.薄暮黄昏幽暗vi.(天)变黑变暗vt.把…变黑变暗adj.颜色暗沉的昏暗的
dust	dʌst	n.尘土灰尘无价值之物屈辱状态vt.拂去灰尘撒上粉状物体大胜vi.擦拭灰尘
duty	'dju:ti	n.职责责任义务税adj.值班的作为一种义务的
dwelling	'dweliŋ	n.住处寓所
dye	dai	vt.染vi.染色n.染料染色
dying	'daiiŋ	adj.垂死的临终的n.死死亡
dynamic	dai'næmik	adj.有活力的动态的(有)动力的(有)力的n.动力力学
each	i:tʃ	pron.各，各自a.各
eager	i:gə	a.渴望的，热切的
eagle	i:gl	n.鹰
ear	iə	n.耳朵；听力，听觉
early	ə:li	ad.早a.早的，早期的
earn	ə:n	vt.赚得，挣得；获得
earnest	ə:nist	a.认真的，诚恳的
earth	ə:θ	n.地球；陆地，地面
earthquake	ə:θkweik	n.地震；大震荡
ease	i:z	n.容易，舒适vt.缓和
east	i:st	n.东；东部ad.在东方
eastern	i:stən	a.东方的；朝东的
easy	i:zi	a.容易的；安逸的
eat	i:t	vt.吃，喝vi.吃饭
echo	ekəu	n.回声，反响vi.重复
econɔmic	i:kə'nɔmik	a.经济的，经济学的
economical	i:kə'nɔmikəl	a.节约的；经济学的
economy	i(:)'kɔnəmi	n.经济；节约，节省
edge	edʒ	n.边缘，边；刀口
edition	i'diʃən	n.版，版本，版次
editor	editə	n.编辑，编者，校订者
educate	edju(:)keit	vt.教育；培养；训练
education	edju:'keiʃən	n.教育；训导；教育学
effect	i'fekt	n.结果；效果，效力
effective	i'fektiv	a.有效的；有影响的
efficiency	i'fiʃənsi	n.效率；功效，效能
efficient	i'fiʃənt	a.效率高的，有能力的
effort	efət	n.努力；努力的成果
egg	eg	n.蛋，鸡蛋，卵
eight	eit	num.八，八个，第八
eighteen	ei'ti:n	num.十八，十八个
eighth	eitθ	num.第八n.八分之一
eighty	eiti	num.八十，八十个
either	aiðə,'i:ðə	pron.(两者)任何一个
elaborate	i'læbərit	a.复杂的；精心制作的
elastic	i'læstik	n.松紧带a.有弹性的
elder	eldə	a.年龄较大的n.长者
elect	i'lekt	vt.选举，推选；选择
election	i'lekʃən	n.选举，选择权；当选
electric	i'lektrik	a.电的，电动的
electrical	i'lektrikəl	a.电的，电气科学的
electricity	ilek'trisiti	n.电，电学；电流
electron	i'lektrɔn	n.电子
electronic	ilek'trɔnik	a.电子的
element	elimənt	n.成分；要素；元素
elementary	eli'mentəri	a.基本的；初级的
elephant	elifənt	n.象
elevator	eliveitə	n.电梯；升降机
eleven	i'levn	num.十一，十一个
eliminate	i'limineit	vt.消灭，消除，排除
else	els	ad.其它，另外a.别的
elsewhere	els'weə	ad.在别处，向别处
embarrass	im'bærəs	vt.使窘迫，使为难
embrace	im'breis	vt.拥抱；包括；包围
emerge	i'mə:dʒ	vi.出现，涌现；冒出
emergency	i'mə:dʒənsi	n.紧急情况，突然事件
emit	i'mit	vt.散发；发射；发表
emotion	i'məuʃən	n.情感，感情；激动
emotional	i'məuʃənl	a.感情的，情绪的
emperor	empərə	n.皇帝
emphasis	emfəsis	n.强调，重点，重要性
emphasize	emfəsaiz	vt.强调，着重
empire	empaiə	n.帝国
employ	im'plɔi	vi.雇用；用；使忙于
employee	emplɔi'i:	n.受雇者，雇员，雇工
employer	im'plɔiə	n.雇佣者，雇主
employment	im'plɔimənt	n.工业；雇用；使用
empty	empti	a.空的；空洞的
enable	i'neibl	vt.使能够，使可能
enclose	in'kləuz	vt.围住，圈起；附上
encounter	in'kauntə	vt.遭遇，遇到n.遭遇
encourage	in'kΛridʒ	vt.鼓励，支持，助长
end	end	n.末端；目标vt.结束
ending	endiŋ	n.结尾，结局；死亡
endless	endlis	a.无止境的
endure	in'djuə	vt.忍受；容忍
enemy	enimi	n.敌人；仇敌；敌兵
energy	enədʒi	n.活力；精力；能
enforce	in'fɔ:s	vt.实施，执行；强制
engage	in'geidʒ	vt.使从事于；聘用
engine	endʒin	n.发动机，引擎；机车
engineer	endʒi'niə	n.工程师，技师
engineering	endʒi'niəriŋ	n.工程，工程学
enlarge	in'la:dʒ	vt.扩大，扩展；放大
enormous	i'nɔ:məs	a.巨大的，庞大的
enough	i'nΛf	a.足够的ad.足够地
enquire	in'kwaiə	vi.vt.询问
enquiry		n.询问
ensure	in'ʃuə	vt.保证；保护；赋予
entertain	entə'tein	vt.使欢乐；招待
enthusiasm	in'θju:ziæzəm	n.热情，热心，热忱
entitle	in'taitl	vt.给…权利(或资格)
entry	entri	n.入口处；登记；进入
environment	in'vaiərənmənt	n.环境，外界；围绕
envy	envi	vt.&n.妒忌；羡慕
equal	i:kwəl	a.相等的；平等的
equality	i(:)'kwɔliti	n.等同，平等；相等
equation	i'kweiʃən	n.方程(式)；等式
equip	i'kwip	vt.装备，配备
equipment	i'kwipmənt	n.装备，设备，配备
equivalent	i'kwivələnt	a.相等的；等量的
era	iərə	n.时代，年代；纪元
erect	i'rekt	vt.建造；使竖立
error	erə	n.错误，谬误；差错
escape	is'keip	vi.逃跑；逸出n.逃跑
especially	is'peʃəli	ad.特别，尤其，格外
essay	esei	n.短文，散文，小品文
essential	i'senʃəl	a.必要的，本质的
establish	is'tæbliʃ	vt.建立，设立；确立
establishment	is'tæbliʃmənt	n.建立，设立，确立
estimate	estimit,'estimeit	vt.估计，评价n.估计
əurope	juərəp	n.欧洲
əuropean	juərə'pi:ən	a.欧洲的n.欧洲人
evaluate	i'væljueit	vt.评价，估…的价
evaporate	i'væpəreit	vt.使蒸发vi.蒸发
eve	i:v	n.前夜，前夕，前一刻
even	i:vən	ad.甚至；甚至更，还
even	i:vən	a.均匀的；平的
evening	i:vniŋ	n.傍晚，黄昏，晚上
event	i'vent	n.事件，大事；事变
eventually	i'ventjuəli	ad.终于；最后
ever	evə	ad.在任何时候；曾经
every	evri	a.每一的；每隔…的
everybody	evribɔdi	pron.每人，人人
everyday	evridei	a.每天的，日常的
everyone	evriwΛn	pron.每人，人人
everything	evriθiŋ	pron.每件事，事事
everywhere	evriweə	ad.到处，处处
evidence	evidəns	n.根据；证据，证人
evident	evidənt	a.明显的，明白的
evil	i:vl	n.邪恶；祸害a.坏的
evolution	i:və'lju:ʃən	n.进化，演化；发展
evolve	i'vɔlv	vt.使进化；使发展
exact	ig'zækt	a.确切的；精确的
exaggerate	ig'zædʒəreit	vt.&vi.夸大，夸张
exam	ig'zæm	n.考试；检查，细查
examination	igzæmi'neiʃən	n.考试；检查，细查
examine	ig'zæmin	vt.检查，仔细观察
example	ig'za:mpl	n.例子，实例；模范
exceed	ik'si:d	vt.超过，胜过；超出
exceedingly	ik'si:diŋli	ad.极端地，非常
excellent	eksələnt	a.优秀的，杰出的
except	ik'sept	prep.除…之外
exception	ik'sepʃən	n.例外，除外
excess	ik'ses,'ekses	n.超越；过量；过度
excessive	ik'sesiv	a.过多的，极度的
exchange	iks'tʃeindʒ	vt.交换；交流n.交换
excite	ik'sait	vt.使激动；引起
exciting	ik'saitiŋ	a.令人兴奋的
exclaim	iks'kleim	vi.呼喊；惊叫
